antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,len_ant,len_con,total_len
"frozenset({'UploadImage', 'TxtBIUS'})","frozenset({'TxtFontSizeColor', 'AddImage'})",0.052041209320238785,0.09300982091276719,0.04838243789716926,0.9296947271045327,9.995661941726373,1.0,0.04354209433821002,12.900741889385486,0.949362577190731,0.5004980079681274,0.9224850781006027,0.7249405312541297,2,2,4
"frozenset({'OpenReportList', 'OpenReport', 'OpensAndBounces'})",frozenset({'OpenData'}),0.053533602927017136,0.10119391488542269,0.04838243789716926,0.9037769784172661,8.93113957929755,1.0,0.04296516303906268,9.340863239695413,0.9382606803216876,0.4549569941149841,0.8929435134270729,0.6909465291705741,3,1,4
"frozenset({'OpenReportList', 'OpensAndBounces'})","frozenset({'OpenReport', 'OpenData'})",0.053629886385518966,0.10104948969766994,0.04838243789716926,0.9021543985637342,8.927847149578794,1.0,0.042963165245368556,9.187439160337572,0.9383125070547153,0.4551630434782608,0.8911557418179129,0.6904769134314621,2,2,4
"frozenset({'OpenReportList', 'OpensAndBounces'})",frozenset({'OpenData'}),0.053629886385518966,0.10119391488542269,0.04843057962642018,0.903052064631957,8.923975968855856,1.0,0.043003561468209085,9.271018322385553,0.9382611645216704,0.4552036199095023,0.8921369837458495,0.690821940974399,2,1,3
"frozenset({'OpenReportList', 'SendNow'})","frozenset({'OpenReport', 'ReportsTab', 'ManageTab'})",0.05035624879645677,0.10745233968804159,0.048093587521663775,0.9550669216061185,8.88828409301178,1.0,0.042682690770571366,19.863933035878883,0.9345529246167996,0.4383501535761299,0.9496575024596706,0.7013237833837044,2,3,5
"frozenset({'OpenReportList', 'ReportsTab', 'SendNow'})","frozenset({'OpenReport', 'ManageTab'})",0.04997111496244945,0.10889659156556904,0.048093587521663775,0.9624277456647399,8.837996964167983,1.0,0.042651903425521824,23.71705994756254,0.9335002378480639,0.4341590612777053,0.9578362578578054,0.7020361539994786,3,2,5
"frozenset({'OpenReportList', 'SendNow'})","frozenset({'OpenReport', 'ManageTab'})",0.05035624879645677,0.10889659156556904,0.04833429616791835,0.9598470363288719,8.814298248728262,1.0,0.04285067230995642,22.192718219581316,0.9335584762238686,0.43576388888888884,0.9549401749661441,0.7018510159540027,2,2,4
"frozenset({'OpenData', 'ManageTab'})","frozenset({'OpenReport', 'ReportsTab'})",0.0586366262276141,0.166474099749663,0.05839591758135952,0.9958949096880131,5.982281395037423,1.0,0.04863443801775999,203.0469093009796,0.8847164817474193,0.35027432861680624,0.9950750296892346,0.6733378539186161,2,2,4
"frozenset({'OpenReportList', 'SendNow', 'ManageTab'})","frozenset({'OpenReport', 'ReportsTab'})",0.04833429616791835,0.166474099749663,0.048093587521663775,0.995019920318725,5.977025386020982,1.0,0.04004717908007598,167.3720007702641,0.8749844543045677,0.28847819809413805,0.9940252850214021,0.6419576177649149,3,2,5
"frozenset({'OpenReportList', 'ProjPreview', 'ManageTab'})","frozenset({'OpenReport', 'ReportsTab'})",0.04607163489312536,0.166474099749663,0.04578278451761987,0.9937304075235109,5.969279359478996,1.0,0.03811305057479167,132.94738108992806,0.8726814516931458,0.2745381062355658,0.9924782271617402,0.6343724333742482,3,2,5
"frozenset({'OpensAndBounces', 'ManageTab'})","frozenset({'OpenReport', 'ReportsTab'})",0.049393414211438474,0.166474099749663,0.049056422106682075,0.99317738791423,5.965957403630534,1.0,0.040833697942270646,122.17108195097848,0.8756328035332334,0.2940836940836941,0.9918147569454999,0.6439281965597755,2,2,4
"frozenset({'OpenReportList', 'SendNow'})","frozenset({'OpenReport', 'ReportsTab'})",0.05035624879645677,0.166474099749663,0.04997111496244945,0.9923518164435946,5.960998244987376,1.0,0.04158810377728926,108.98351145773096,0.8763737578622894,0.2994806693594922,0.990824300055813,0.6462626635717106,2,2,4
"frozenset({'SEDragResize', 'SEDeleteElement', 'SEDragMove'})",frozenset({'SEDragIn'}),0.05271519352975159,0.15309069901790873,0.048093587521663775,0.9123287671232876,5.959400361850607,1.0,0.04002338169532976,9.660059214326969,0.8785086351788592,0.3049450549450549,0.8964809658188341,0.613239855259757,3,1,4
"frozenset({'OpenReportList', 'ManageTab'})","frozenset({'OpenReport', 'ReportsTab'})",0.07115347583285192,0.166474099749663,0.07057577508184094,0.9918809201623816,5.958169599078366,1.0,0.05873056424850752,102.66260671416664,0.8959103558903511,0.422478386167147,0.9902593550660154,0.7079126983692186,2,2,4
"frozenset({'TxtFontSizeColor', 'UploadImage', 'CaptionedImages'})",frozenset({'AddImage'}),0.04539765068361255,0.16815906027344502,0.04539765068361255,1.0,5.946750644145434,1.0,0.037763624406034146,inf,0.8714004740531546,0.26996850844546233,1.0,0.6349842542227312,3,1,4
"frozenset({'UploadImage', 'CaptionedImages'})",frozenset({'AddImage'}),0.06402849990371653,0.16815906027344502,0.06402849990371653,1.0,5.946750644145434,1.0,0.053261527529189195,inf,0.88874601378459,0.3807615230460922,1.0,0.6903807615230461,2,1,3
"frozenset({'TxtFontSizeColor', 'UploadImage', 'ImageProperties'})",frozenset({'AddImage'}),0.05025996533795494,0.16815906027344502,0.05025996533795494,1.0,5.946750644145434,1.0,0.041808296797348515,inf,0.8758617193836172,0.29888348124821074,1.0,0.6494417406241053,3,1,4
"frozenset({'UploadImage', 'MultiImageElemen'})",frozenset({'AddImage'}),0.046504910456383594,0.16815906027344502,0.046504910456383594,1.0,5.946750644145434,1.0,0.03868468841593742,inf,0.8724124002827426,0.27655310621242485,1.0,0.6382765531062125,2,1,3
"frozenset({'ReEditProj', 'CaptionedImages', 'UploadImage'})",frozenset({'AddImage'}),0.045301367225110724,0.16815906027344502,0.045301367225110724,1.0,5.946750644145434,1.0,0.03768353188343386,inf,0.8713125913973071,0.26939593472659606,1.0,0.634697967363298,3,1,4
"frozenset({'TxtFontSizeColor', 'UploadImage', 'SEDragResize'})",frozenset({'AddImage'}),0.05998459464663971,0.16815906027344502,0.05993645291738879,0.9991974317817014,5.941977971076296,1.0,0.049849499850726335,1036.4738108992235,0.8847789807185312,0.3563251287922152,0.9990351902870248,0.6778122858879878,3,1,4
